"theta"	"prop_random"	"iteration"	"mu"	"tau"	"I2"	"mu_2"	"tau_2"	"I2_2"
6.7	0	56	3.81639164714898e-17	0	0	0	0	0
6.7	0	57	-4.38017677684144e-17	0	0	0	0	0
6.7	0	58	2.90566182226115e-17	0	0	0	0	0
6.7	0	59	6.24771501894772e-18	0	0	0	0	0
6.7	0	60	-3.19297539796981e-17	0	0	0	0	0
6.7	0	61	-3.25260651745651e-19	0	0	0	0	0
6.7	0	62	-2.27140355135713e-17	0	0	0	0	0
6.7	0	63	8.27517308149561e-17	0	0	0	0	0
6.7	0	64	2.81892564846231e-18	0	0	0	0	0
6.7	0	65	2.65629532258949e-17	0	0	0	0	0
6.7	0	66	-4.17417836406919e-17	0	0	0	0	0
6.7	0	67	4.33680868994202e-19	0	0	0	0	0
6.7	0	68	-6.16911036144252e-17	0	0	0	0	0
6.7	0	69	-2.28766658394441e-17	0	0	0	0	0
6.7	0	70	5.79370535921941e-18	0	0	0	0	0
6.7	0	71	2.34187669256869e-17	0	0	0	0	0
6.7	0	72	-1.56125112837913e-17	0	0	0	0	0
6.7	0	73	1.34441069388203e-17	0	0	0	0	0
6.7	0	74	7.58941520739853e-18	0	0	0	0	0
6.7	0	75	5.46437894932694e-17	0	0	0	0	0
6.7	0	76	4.77048955893622e-18	0	0	0	0	0
6.7	0	77	1.21430643318376e-17	0	0	0	0	0
6.7	0	78	-5.42101086242752e-18	0	0	0	0	0
6.7	0	79	2.45571792067967e-17	0	0	0	0	0
6.7	0	80	-1.21430643318376e-17	0	0	0	0	0
6.7	0	81	-8.13151629364128e-18	0	0	0	0	0
6.7	0	82	2.19008838842072e-17	0	0	0	0	0
6.7	0	83	4.83554168928535e-17	0	0	0	0	0
6.7	0	84	4.01154803819637e-17	0	0	0	0	0
6.7	0	85	5.29090660172926e-17	0	0	0	0	0
6.7	0	86	1.9298798670242e-17	0	0	0	0	0
6.7	0	87	-2.16840434497101e-18	0	0	0	0	0
6.7	0	88	-2.23345647532014e-17	0	0	0	0	0
6.7	0	89	-2.99781900692242e-17	0	0	0	0	0
6.7	0	90	-1.0842021724855e-17	0	0	0	0	0
6.7	0	91	-4.40186082029115e-17	0	0	0	0	0
6.7	0	92	4.25007251614318e-17	0	0	0	0	0
6.7	0	93	6.5594231435373e-18	0	0	0	0	0
6.7	0	94	-4.7271214720368e-17	0	0	0	0	0
6.7	0	95	-2.86229373536173e-17	0	0	0	0	0
6.7	0	96	-3.03576608295941e-18	0	0	0	0	0
6.7	0	97	1.86211723124385e-17	0	0	0	0	0
6.7	0	98	2.99104274334439e-17	0	0	0	0	0
6.7	0	99	7.41594285980085e-17	0	0	0	0	0
6.7	0	100	-6.07153216591882e-18	0	0	0	0	0
